tokenizer,vocab_size,variant,items,tokens,baseline_tokens,tax,context_share,tokens_per_word,tokens_per_grapheme,fragment_rate
unsloth/Llama-3.2-3B-Instruct,128256,en,18,528,528,1.0,1.0,1.203,0.26,0.0
unsloth/Llama-3.2-3B-Instruct,128256,hi,18,1288,528,2.439,0.41,2.656,1.116,0.0047
unsloth/Llama-3.2-3B-Instruct,128256,te,18,4010,528,7.595,0.132,13.019,3.826,0.9815
unsloth/Llama-3.2-3B-Instruct,128256,hi_rom,16,536,286,1.874,0.534,2.007,0.43,0.0
unsloth/Llama-3.2-3B-Instruct,128256,te_rom,16,480,286,1.678,0.596,2.667,0.389,0.0
unsloth/Llama-3.2-3B-Instruct,128256,hi_cm,16,347,286,1.213,0.824,1.509,0.322,0.0
unsloth/Llama-3.2-3B-Instruct,128256,te_cm,16,313,286,1.094,0.914,1.639,0.307,0.0
unsloth/gemma-3-4b-it,262145,en,18,526,526,1.0,1.0,1.198,0.259,0.0
unsloth/gemma-3-4b-it,262145,hi,18,618,526,1.175,0.851,1.274,0.536,0.0
unsloth/gemma-3-4b-it,262145,te,18,829,526,1.576,0.634,2.692,0.791,0.0
unsloth/gemma-3-4b-it,262145,hi_rom,16,448,282,1.589,0.629,1.678,0.359,0.0
unsloth/gemma-3-4b-it,262145,te_rom,16,443,282,1.571,0.637,2.461,0.359,0.0
unsloth/gemma-3-4b-it,262145,hi_cm,16,293,282,1.039,0.962,1.274,0.272,0.0
unsloth/gemma-3-4b-it,262145,te_cm,16,299,282,1.06,0.943,1.565,0.293,0.0
Qwen/Qwen3-4B,151669,en,18,533,533,1.0,1.0,1.214,0.262,0.0
Qwen/Qwen3-4B,151669,hi,18,2292,533,4.3,0.233,4.726,1.986,0.5209
Qwen/Qwen3-4B,151669,te,18,3453,533,6.478,0.154,11.211,3.295,0.8149
Qwen/Qwen3-4B,151669,hi_rom,16,541,289,1.872,0.534,2.026,0.434,0.0
Qwen/Qwen3-4B,151669,te_rom,16,486,289,1.682,0.595,2.7,0.394,0.0
Qwen/Qwen3-4B,151669,hi_cm,16,352,289,1.218,0.821,1.53,0.327,0.0
Qwen/Qwen3-4B,151669,te_cm,16,319,289,1.104,0.906,1.67,0.313,0.0
microsoft/Phi-4-mini-instruct,200029,en,18,521,521,1.0,1.0,1.187,0.256,0.0
microsoft/Phi-4-mini-instruct,200029,hi,18,753,521,1.445,0.692,1.553,0.653,0.0053
microsoft/Phi-4-mini-instruct,200029,te,18,912,521,1.75,0.571,2.961,0.87,0.0241
microsoft/Phi-4-mini-instruct,200029,hi_rom,16,481,281,1.712,0.584,1.801,0.386,0.0
microsoft/Phi-4-mini-instruct,200029,te_rom,16,441,281,1.569,0.637,2.45,0.357,0.0
microsoft/Phi-4-mini-instruct,200029,hi_cm,16,325,281,1.157,0.865,1.413,0.302,0.0
microsoft/Phi-4-mini-instruct,200029,te_cm,16,296,281,1.053,0.949,1.55,0.29,0.0
HuggingFaceTB/SmolLM3-3B,128256,en,18,528,528,1.0,1.0,1.203,0.26,0.0
HuggingFaceTB/SmolLM3-3B,128256,hi,18,1288,528,2.439,0.41,2.656,1.116,0.0047
HuggingFaceTB/SmolLM3-3B,128256,te,18,4010,528,7.595,0.132,13.019,3.826,0.9815
HuggingFaceTB/SmolLM3-3B,128256,hi_rom,16,536,286,1.874,0.534,2.007,0.43,0.0
HuggingFaceTB/SmolLM3-3B,128256,te_rom,16,480,286,1.678,0.596,2.667,0.389,0.0
HuggingFaceTB/SmolLM3-3B,128256,hi_cm,16,347,286,1.213,0.824,1.509,0.322,0.0
HuggingFaceTB/SmolLM3-3B,128256,te_cm,16,313,286,1.094,0.914,1.639,0.307,0.0
openai/gpt-oss-20b,200019,en,18,521,521,1.0,1.0,1.187,0.256,0.0
openai/gpt-oss-20b,200019,hi,18,753,521,1.445,0.692,1.553,0.653,0.0053
openai/gpt-oss-20b,200019,te,18,912,521,1.75,0.571,2.961,0.87,0.0241
openai/gpt-oss-20b,200019,hi_rom,16,481,281,1.712,0.584,1.801,0.386,0.0
openai/gpt-oss-20b,200019,te_rom,16,441,281,1.569,0.637,2.45,0.357,0.0
openai/gpt-oss-20b,200019,hi_cm,16,325,281,1.157,0.865,1.413,0.302,0.0
openai/gpt-oss-20b,200019,te_cm,16,296,281,1.053,0.949,1.55,0.29,0.0
sarvamai/sarvam-1,68096,en,18,582,582,1.0,1.0,1.326,0.286,0.0
sarvamai/sarvam-1,68096,hi,18,663,582,1.139,0.878,1.367,0.575,0.0
sarvamai/sarvam-1,68096,te,18,694,582,1.192,0.839,2.253,0.662,0.0605
sarvamai/sarvam-1,68096,hi_rom,16,688,315,2.184,0.458,2.577,0.552,0.0
sarvamai/sarvam-1,68096,te_rom,16,603,315,1.914,0.522,3.35,0.489,0.0
sarvamai/sarvam-1,68096,hi_cm,16,445,315,1.413,0.708,1.935,0.413,0.0
sarvamai/sarvam-1,68096,te_cm,16,385,315,1.222,0.818,2.016,0.377,0.0
krutrim-ai-labs/Krutrim-2-instruct,131072,en,18,539,539,1.0,1.0,1.228,0.265,0.0
krutrim-ai-labs/Krutrim-2-instruct,131072,hi,18,943,539,1.75,0.572,1.944,0.817,0.0106
krutrim-ai-labs/Krutrim-2-instruct,131072,te,18,1103,539,2.046,0.489,3.581,1.052,0.0435
krutrim-ai-labs/Krutrim-2-instruct,131072,hi_rom,16,527,290,1.817,0.55,1.974,0.423,0.0
krutrim-ai-labs/Krutrim-2-instruct,131072,te_rom,16,471,290,1.624,0.616,2.617,0.382,0.0
krutrim-ai-labs/Krutrim-2-instruct,131072,hi_cm,16,346,290,1.193,0.838,1.504,0.321,0.0
krutrim-ai-labs/Krutrim-2-instruct,131072,te_cm,16,315,290,1.086,0.921,1.649,0.309,0.0
